"","look","sum","output"
"1073","looking",1569,"forward"
"1074","looks",1349,"like"
"1075","los",2083,"angeles"
"1076","lose",108,"weight"
"1077","losing",124,"streak"
"1078","loss",69,"million"
"1079","lost",83,"million"
"1080","lot",456,"people"
"1081","lots",78,"people"
"1082","louis",17613,"will"
"1083","love",17617,"film"
"1084","loved",121,"ones"
"1085","lower",63,"level"
"1086","lowest",66,"level"
"1087","lt",58,"gov"
"1088","lucky",67,"enough"
"1089","lunch",159,"dinner"
"1090","luther",141,"king"
"1091","lutheran",79,"church"
"1092","luv",63,"u"
"1093","m",1222,"pm"
"1094","macy",87,"s"
"1095","mad",138,"men"
"1096","made",199,"clear"
"1097","madison",74,"square"
"1098","mae",68,"freddie"
"1099","magazine",79,"s"
"1100","main",171,"street"
"1101","major",303,"league"
"1102","majority",129,"leader"
"1103","make",17618,"happiest"
"1104","makes",293,"sense"
"1105","making",195,"sure"
"1106","male",70,"female"
"1107","man",330,"s"
"1108","management",64,"team"
"1109","manager",80,"mike"
"1110","managing",88,"director"
"1111","manny",70,"acta"
"1112","manufacturing",75,"jobs"
"1113","many",906,"people"
"1114","march",119,"th"
"1115","marcus",86,"camby"
"1116","mardi",81,"gras"
"1117","margin",72,"error"
"1118","mariano",71,"rivera"
"1119","maricopa",139,"county"
"1120","marine",90,"corps"
"1121","marion",101,"county"
"1122","marital",408,"thanks"
"1123","mark",126,"twain"
"1124","marked",69,"first"
"1125","market",138,"share"
"1126","marriage",94,"equality"
"1127","marshall",59,"s"
"1128","martha",67,"stewart"
"1129","martin",148,"luther"
"1130","mary",139,"s"
"1131","maryland",138,"s"
"1132","mashed",102,"potatoes"
"1133","massachusetts",158,"governor"
"1134","master",226,"s"
"1135","matheny",93,"said"
"1136","matt",95,"holliday"
"1137","matter",424,"thanks"
"1138","may",222,"th"
"1139","maybe",163,"just"
"1140","mayfield",65,"heights"
"1141","mayor",227,"s"
"1142","mccain",67,"s"
"1143","mcdonald",197,"s"
"1144","mcmillan",141,"said"
"1145","mean",17646,"world"
"1146","means",92,"lot"
"1147","medical",574,"center"
"1148","medicare",72,"medicaid"
"1149","medina",71,"county"
"1150","medium",107,"heat"
"1151","mediumhigh",110,"heat"
"1152","meet",102,"new"
"1153","meeting",82,"last"
"1154","mega",118,"millions"
"1155","members",101,"said"
"1156","memorial",155,"day"
"1157","men",541,"s"
"1158","mental",270,"health"
"1159","mentally",89,"ill"
"1160","merry",243,"christmas"
"1161","methodist",85,"church"
"1162","metro",97,"area"
"1163","metropolitan",75,"area"
"1164","mexico",182,"s"
"1165","mg",223,"sodium"
"1166","mi",60,"run"
"1167","miami",88,"heat"
"1168","michael",147,"jackson"
"1169","michigan",217,"state"
"1170","microsoft",66,"s"
"1171","mid",79,"s"
"1172","middle",397,"school"
"1173","middlesex",150,"county"
"1174","might",228,"well"
"1175","mike",79,"brown"
"1176","miles",188,"away"
"1177","miller",159,"said"
"1178","million",400,"million"
"1179","millions",326,"dollars"
"1180","minimum",97,"wage"
"1181","minnesota",75,"s"
"1182","minor",97,"league"
"1183","minority",98,"leader"
"1184","minute",61,"drive"
"1185","minutes",184,"later"
"1186","miss",142,"u"
"1187","mississippi",68,"state"
"1188","missouri",167,"s"
"1189","mitt",595,"romney"
"1190","mobile",66,"devices"
"1191","modern",74,"family"
"1192","mom",17610,"effect"
"1193","monday",478,"night"
"1194","money",120,"will"
"1195","monkeys",17615,"weekend"
"1196","monterey",61,"bay"
"1197","montgomery",70,"county"
"1198","month",158,"s"
"1199","months",358,"ago"
"1200","moody",64,"s"
"1201","moran",65,"said"
"1202","morning",108,"everyone"
"1203","morris",116,"county"
"1204","mortgage",64,"rates"
"1205","mother",715,"s"
"1206","mothers",413,"day"
"1207","motor",99,"vehicle"
"1208","mountain",103,"view"
"1209","move",218,"forward"
"1210","moved",85,"new"
"1211","movie",92,"s"
"1212","movies",390,"thanks"
"1213","moving",194,"forward"
"1214","mr",129,"obama"
"1215","much",513,"better"
"1216","multiple",90,"times"
"1217","multnomah",176,"county"
"1218","municipal",87,"court"
"1219","murdoch",58,"s"
"1220","museum",109,"s"
"1221","music",191,"video"
"1222","must",17611,"insane"
"1223","n",159,"roll"
"1224","napa",123,"valley"
"1225","nate",96,"mcmillan"
"1226","nation",874,"s"
"1227","national",198,"championship"
"1228","native",110,"american"
"1229","natural",331,"gas"
"1230","navy",83,"veterans"
"1231","nba",95,"s"
"1232","nbc",72,"s"
"1233","ncaa",345,"tournament"
"1234","nd",61,"annual"
"1235","near",130,"future"
"1236","nearly",238,"million"
"1237","need",485,"get"
"1238","needless",64,"say"
"1239","needs",102,"get"
"1240","neighbor",102,"s"
"1241","neighborhood",80,"watch"
"1242","neighbors",63,"said"
"1243","nelson",62,"said"
"1244","net",91,"income"
"1245","network",99,"s"
"1246","never",346,"seen"
"1247","new",4478,"york"
"1248","newark",85,"police"
"1249","newport",113,"beach"
"1250","news",506,"conference"
"1251","newspaper",70,"s"
"1252","newt",199,"gingrich"
"1253","next",1355,"year"
"1254","nfl",217,"draft"
"1255","nice",165,"see"
"1256","nicki",81,"minaj"
"1257","nicolas",69,"batum"
"1258","night",394,"s"
"1259","nike",58,"gps"
"1260","nine",190,"years"
"1261","ninth",94,"inning"
"1262","nixon",58,"s"
"1263","nj",82,"transit"
"1264","nobody",85,"else"
"1265","nonprofit",117,"organization"
"1266","noon",174,"pm"
"1267","north",537,"carolina"
"1268","northeast",349,"ohio"
"1269","northern",167,"california"
"1270","nothing",265,"like"
"1271","notre",270,"dame"
"1272","november",94,"ballot"
"1273","now",362,"just"
"1274","nowhere",61,"near"
"1275","nuclear",115,"power"
"1276","number",17611,"bags"
"1277","nursing",138,"home"
"1278","o",291,"fallon"
"1279","oak",75,"park"
"1280","oakland",91,"county"
"1281","obama",979,"s"
"1282","observations",17618,"bills"
"1283","occupy",109,"wall"
"1284","offense",17613,"still"
"1285","offensive",165,"line"
"1286","office",242,"said"
"1287","officer",76,"said"
"1288","officers",65,"found"
"1289","official",156,"said"
"1290","officials",1173,"said"
"1291","often",68,"used"
"1292","oh",305,"yeah"
"1293","ohh",17614,"pointbreak"
"1294","ohio",729,"state"
"1295","oil",231,"gas"
"1296","ok",58,"just"
"1297","oklahoma",144,"city"
"1298","old",17612,"bagpipes"
"1299","older",88,"brother"
"1300","olive",354,"oil"
"1301","olympic",86,"gold"
"1302","omg",81,"omg"
"1303","one",1076,"day"
"1304","onto",60,"field"
"1305","open",221,"public"
"1306","opened",76,"last"
"1307","opening",258,"day"
"1308","openly",77,"gay"
"1309","opera",65,"house"
"1310","operating",157,"officer"
"1311","oprah",65,"winfrey"
"1312","orange",485,"county"
"1313","order",62,"get"
"1314","ordered",68,"pay"
"1315","oregon",383,"state"
"1316","oregonian",61,"s"
"1317","organization",96,"s"
"1318","orlando",72,"fla"
"1319","osama",145,"bin"
"1320","others",78,"will"
"1321","outside",389,"thanks"
"1322","overall",121,"pick"
"1323","ownership",82,"group"
"1324","paid",101,"million"
"1325","palm",85,"beach"
"1326","palo",160,"alto"
"1327","paradise",79,"valley"
"1328","parent",134,"company"
"1329","parents",66,"children"
"1330","park",110,"s"
"1331","parking",564,"lot"
"1332","parks",109,"recreation"
"1333","parkway",81,"south"
"1334","part",108,"team"
"1335","participants",72,"will"
"1336","party",184,"s"
"1337","pass",67,"bill"
"1338","passed",101,"away"
"1339","passes",144,"yards"
"1340","past",410,"two"
"1341","pat",64,"shurmur"
"1342","pates",69,"fountain"
"1343","patient",128,"s"
"1344","patrick",132,"s"
"1345","patrol",59,"car"
"1346","patty",63,"s"
"1347","paul",124,"s"
"1348","pay",170,"attention"
"1349","paying",105,"attention"
"1350","payroll",117,"tax"
"1351","pdt",66,"washington"
"1352","peanut",201,"butter"
"1353","pearl",87,"harbor"
"1354","pebble",68,"beach"
"1355","penn",260,"state"
"1356","pension",82,"benefits"
"1357","people",17620,"almost"
"1358","pepper",85,"taste"
"1359","per",396,"game"
"1360","percent",494,"percent"
"1361","percentage",133,"points"
"1362","perfect",17614,"bottom"
"1363","performing",133,"arts"
"1364","perhaps",68,"best"
"1365","period",80,"time"
"1366","perry",68,"s"
"1367","person",178,"s"
"1368","personal",67,"trainer"
"1369","peter",58,"s"
"1370","peyton",189,"manning"
"1371","pga",130,"tour"
"1372","pge",54,"s"
"1373","philadelphia",73,"s"
"1374","phoenix",72,"police"
"1375","phone",228,"calls"
"1376","photo",75,"shoot"
"1377","physical",73,"activity"
"1378","pick",69,"one"
"1379","picture",430,"thanks"
"1380","piece",66,"paper"
"1381","pilot",77,"program"
"1382","pinal",70,"county"
"1383","pinot",111,"noir"
"1384","pit",65,"bull"
"1385","pitching",105,"coach"
"1386","place",107,"pm"
"1387","places",91,"like"
"1388","plain",525,"dealer"
"1389","plan",105,"will"
"1390","planned",206,"parenthood"
"1391","planning",101,"commission"
"1392","plans",64,"open"
"1393","plastic",131,"bags"
"1394","play",207,"game"
"1395","played",147,"well"
"1396","player",203,"year"
"1397","players",102,"will"
"1398","playing",17618,"outside"
"1399","playoff",173,"series"
"1400","plea",70,"deal"
"1401","pleaded",520,"guilty"
"1402","pleading",89,"guilty"
"1403","please",17616,"mean"
"1404","plz",72,"follow"
"1405","pm",404,"saturday"
"1406","point",454,"guard"
"1407","pointbreak",17619,"tomorrow"
"1408","points",443,"rebounds"
"1409","police",1143,"said"
"1410","political",118,"science"
"1411","polls",67,"show"
"1412","poor",97,"s"
"1413","pop",86,"culture"
"1414","port",227,"authority"
"1415","portland",246,"s"
"1416","possession",79,"weapon"
"1417","possible",62,"said"
"1418","post",105,"office"
"1419","postal",102,"service"
"1420","pound",17611,"bacon"
"1421","power",185,"play"
"1422","preheat",64,"oven"
"1423","prepared",87,"statement"
"1424","presbyterian",84,"church"
"1425","prescription",94,"drugs"
"1426","presentation",17621,"evidence"
"1427","president",642,"barack"
"1428","presidential",145,"candidate"
"1429","press",240,"conference"
"1430","pretty",17963,"sure"
"1431","previous",120,"year"
"1432","price",97,"tag"
"1433","prices",70,"rose"
"1434","primary",62,"race"
"1435","prime",256,"minister"
"1436","prison",67,"sentence"
"1437","private",148,"sector"
"1438","pro",86,"football"
"1439","probably",140,"will"
"1440","proceeds",67,"benefit"
"1441","process",66,"will"
"1442","productive",72,"day"
"1443","products",70,"services"
"1444","professor",70,"university"
"1445","profile",87,"pic"
"1446","profit",83,"million"
"1447","program",155,"will"
"1448","progressive",102,"field"
"1449","project",142,"will"
"1450","pronounced",152,"dead"
"1451","property",240,"tax"
"1452","proposed",93,"budget"
"1453","prosecutor",192,"s"
"1454","prosecutors",235,"said"
"1455","prostate",68,"cancer"
"1456","protection",140,"agency"
"1457","protein",194,"g"
"1458","provide",74,"information"
"1459","prudential",79,"center"
"1460","public",386,"schools"
"1461","puerto",100,"rico"
"1462","punitive",71,"damages"
"1463","pushed",61,"back"
"1464","put",250,"together"
"1465","putting",102,"together"
"1466","quality",113,"life"
"1467","quarter",71,"year"
"1468","question",261,"whether"
"1469","questioned",71,"whether"
"1470","questions",17630,"answered"
"1471","quickly",63,"became"
"1472","quite",17646,"time"
"1473","quote",63,"day"
"1474","r",287,"u"
"1475","racial",98,"profiling"
"1476","radio",184,"show"
"1477","rainy",79,"day"
"1478","raise",219,"money"
"1479","raised",87,"million"
"1480","raising",76,"taxes"
"1481","ralph",65,"waldo"
"1482","ramsey",64,"county"
"1483","ran",61,"yards"
"1484","ranked",76,"th"
"1485","rate",180,"percent"
"1486","rbi",117,"single"
"1487","reach",68,"agreement"
"1488","reached",112,"comment"
"1489","read",100,"book"
"1490","ready",289,"go"
"1491","real",762,"estate"
"1492","reality",138,"show"
"1493","really",594,"good"
"1494","reason",17621,"smile"
"1495","reasonable",73,"suspicion"
"1496","rebounds",82,"assists"
"1497","receive",65,"free"
"1498","received",69,"million"
"1499","recent",500,"years"
"1500","recently",77,"released"
"1501","record",64,"number"
"1502","records",268,"show"
"1503","recreation",95,"center"
"1504","red",303,"sox"
"1505","reduce",17619,"stress"
"1506","reed",61,"said"
"1507","reelection",91,"campaign"
"1508","region",232,"s"
"1509","register",66,"go"
"1510","registered",87,"voters"
"1511","registration",97,"required"
"1512","regular",445,"season"
"1513","regularseason",74,"games"
"1514","relatively",74,"small"
"1515","relay",114,"team"
"1516","release",64,"said"
"1517","released",98,"tuesday"
"1518","religious",73,"freedom"
"1519","remain",62,"open"
"1520","remains",64,"seen"
"1521","remember",63,"last"
"1522","remove",71,"heat"
"1523","renewable",120,"energy"
"1524","rental",65,"car"
"1525","report",232,"said"
"1526","reported",70,"pm"
"1527","reports",106,"said"
"1528","republican",268,"party"
"1529","republicans",77,"said"
"1530","research",101,"center"
"1531","researchers",66,"said"
"1532","reservations",78,"required"
"1533","reserve",106,"university"
"1534","resident",66,"block"
"1535","residents",68,"said"
"1536","rest",103,"us"
"1537","restaurant",174,"s"
"1538","restraining",83,"order"
"1539","retirement",70,"age"
"1540","return",72,"home"
"1541","returning",64,"home"
"1542","revenue",71,"service"
"1543","revolving",65,"door"
"1544","rex",61,"ryan"
"1545","rhode",108,"island"
"1546","rice",61,"pudding"
"1547","rick",197,"santorum"
"1548","ride",58,"home"
"1549","right",3767,"now"
"1550","riley",70,"said"
"1551","river",67,"city"
"1552","road",195,"trip"
"1553","robinson",84,"said"
"1554","rock",158,"n"
"1555","rocky",70,"river"
"1556","rodham",65,"clinton"
"1557","roger",83,"goodell"
"1558","roland",65,"park"
"1559","role",164,"model"
"1560","roll",67,"hall"
"1561","roller",67,"coaster"
"1562","roman",63,"catholic"
"1563","romantic",17613,"date"
"1564","romney",362,"s"
"1565","ron",144,"paul"
"1566","ronald",113,"reagan"
"1567","room",91,"temperature"
"1568","rose",437,"percent"
"1569","roughly",70,"million"
"1570","roy",66,"said"
"1571","royal",58,"oak"
"1572","rt",325,"rt"
"1573","rudy",64,"fernandez"
"1574","run",81,"away"
"1575","running",423,"back"
"1576","runs",101,"scored"
"1577","rupert",63,"murdoch"
"1578","rush",99,"limbaugh"
"1579","rushed",77,"yards"
"1580","rushing",101,"yards"
"1581","russia",75,"s"
"1582","russo",68,"s"
"1583","rutgers",108,"university"
"1584","ryan",70,"s"
"1585","s",17742,"wife"
"1586","sacrifice",90,"fly"
"1587","sad",90,"day"
"1588","safe",78,"travels"
"1589","safety",83,"net"
"1590","said",1453,"guy"
"1591","saint",98,"louis"
"1592","salary",104,"cap"
"1593","sale",55,"m"
"1594","sales",271,"tax"
"1595","salt",210,"pepper"
"1596","salvation",90,"army"
"1597","sam",59,"adams"
"1598","san",1983,"francisco"
"1599","sandler",17614,"s"
"1600","santa",217,"ana"
"1601","santorum",93,"s"
"1602","sarah",80,"palin"
"1603","saturated",92,"mg"
"1604","saturday",693,"night"
"1605","saudi",113,"arabia"
"1606","sauvignon",93,"blanc"
"1607","save",185,"money"
"1608","saw",72,"one"
"1609","say",194,"will"
"1610","says",174,"will"
"1611","scarlet",71,"knights"
"1612","scheduled",93,"begin"
"1613","school",791,"district"
"1614","schools",88,"will"
"1615","science",91,"technology"
"1616","score",70,"points"
"1617","scored",290,"points"
"1618","scoreless",81,"innings"
"1619","scoring",125,"points"
"1620","scott",121,"said"
"1621","scouting",70,"combine"
"1622","sea",60,"salt"
"1623","seal",60,"beach"
"1624","search",80,"warrant"
"1625","season",206,"s"
"1626","seau",87,"s"
"1627","second",540,"half"
"1628","seconddegree",70,"murder"
"1629","seconds",266,"left"
"1630","secret",176,"service"
"1631","secretary",213,"state"
"1632","securities",100,"exchange"
"1633","security",104,"forces"
"1634","see",17609,"artic"
"1635","seeking",82,"comment"
"1636","seem",222,"like"
"1637","seemed",176,"like"
"1638","seems",511,"like"
"1639","seen",17617,"quite"
"1640","sen",70,"john"
"1641","senate",247,"bill"
"1642","send",116,"us"
"1643","senior",128,"vice"
"1644","sense",175,"humor"
"1645","sent",84,"email"
"1646","sentenced",83,"years"
"1647","sept",77,"attacks"
"1648","series",71,"will"
"1649","serious",77,"injuries"
"1650","serve",68,"immediately"
"1651","service",90,"said"
"1652","services",86,"will"
"1653","serving",155,"calories"
"1654","set",299,"aside"
"1655","seton",162,"hall"
"1656","settle",17613,"matter"
"1657","seven",381,"years"
"1658","seventh",70,"inning"
"1659","several",403,"years"
"1660","sex",230,"marriage"
"1661","sexual",84,"abuse"
"1662","sf",138,"br"
"1663","shaker",94,"heights"
"1664","shaking",63,"head"
"1665","sheila",63,"oliver"
"1666","sheriff",666,"s"
"1667","shook",60,"head"
"1668","shooting",81,"percent"
"1669","shopping",158,"center"
"1670","short",146,"time"
"1671","shortly",97,"pm"
