"","look","sum","output"
"821","harry",157,"potter"
"822","hate",150,"people"
"823","hbo",58,"s"
"824","head",442,"coach"
"825","headed",83,"back"
"826","heading",66,"back"
"827","health",1355,"care"
"828","heard",75,"anything"
"829","hearing",66,"will"
"830","heart",224,"attack"
"831","heat",77,"add"
"832","hedge",60,"fund"
"833","heisman",70,"trophy"
"834","hell",181,"yeah"
"835","help",276,"us"
"836","helped",70,"make"
"837","helping",74,"us"
"838","helps",17620,"reduce"
"839","hes",74,"just"
"840","hey",17612,"sunshine"
"841","high",3527,"school"
"842","higher",265,"education"
"843","highest",106,"level"
"844","highland",85,"park"
"845","highly",76,"recommend"
"846","highspeed",73,"rail"
"847","hillary",65,"rodham"
"848","hip",129,"hop"
"849","historical",137,"society"
"850","hit",82,"hard"
"851","hitchcock",85,"said"
"852","hits",71,"innings"
"853","hold",17611,"uneven"
"854","holiday",178,"season"
"855","holland",17612,"like"
"856","hollywood",60,"s"
"857","holy",84,"crap"
"858","home",323,"run"
"859","homeland",172,"security"
"860","hong",148,"kong"
"861","honor",67,"society"
"862","hope",326,"see"
"863","hopefully",101,"can"
"864","hopes",94,"will"
"865","hoping",74,"get"
"866","horse",87,"racing"
"867","hospital",69,"s"
"868","hot",145,"dogs"
"869","hotel",125,"room"
"870","hour",71,"minutes"
"871","hours",203,"later"
"872","house",269,"speaker"
"873","housing",134,"market"
"874","houston",115,"s"
"875","howard",142,"county"
"876","howell",65,"central"
"877","however",66,"said"
"878","hudson",203,"county"
"879","hug",17610,"helps"
"880","huge",86,"fan"
"881","human",280,"rights"
"882","humane",127,"society"
"883","hump",74,"day"
"884","hundreds",165,"thousands"
"885","hunger",345,"games"
"886","hunter",63,"s"
"887","hunterdon",69,"county"
"888","huntington",98,"beach"
"889","hurricane",64,"irene"
"890","husband",167,"s"
"891","hydraulic",71,"fracturing"
"892","ice",17610,"bucket"
"893","id",60,"like"
"894","illegal",306,"immigrants"
"895","illinois",109,"state"
"896","im",346,"going"
"897","imagination",17619,"bruises"
"898","immediately",85,"available"
"899","immigration",159,"law"
"900","important",141,"thing"
"901","inc",96,"s"
"902","inch",17613,"away"
"903","inches",63,"long"
"904","incident",77,"occurred"
"905","including",217,"one"
"906","income",313,"tax"
"907","increased",133,"percent"
"908","independence",80,"day"
"909","india",70,"s"
"910","indiana",62,"s"
"911","industrial",80,"average"
"912","industry",129,"s"
"913","information",205,"call"
"914","initial",68,"public"
"915","insane",424,"thanks"
"916","inside",89,"outside"
"917","inspector",93,"general"
"918","instead",65,"just"
"919","institute",104,"technology"
"920","insurance",140,"company"
"921","integral",62,"part"
"922","intensive",77,"care"
"923","interest",207,"rates"
"924","interesting",84,"see"
"925","interim",69,"coach"
"926","internal",97,"affairs"
"927","international",237,"airport"
"928","interview",69,"wednesday"
"929","invasion",65,"privacy"
"930","investment",69,"firm"
"931","iowa",118,"state"
"932","iphone",68,"s"
"933","ipod",59,"touch"
"934","iran",72,"s"
"935","iraq",75,"afghanistan"
"936","iron",118,"man"
"937","israel",76,"s"
"938","issue",72,"said"
"939","issued",173,"statement"
"940","issues",70,"said"
"941","italy",72,"s"
"942","ive",85,"got"
"943","ivy",59,"league"
"944","jackson",130,"s"
"945","james",104,"said"
"946","jan",72,"brewer"
"947","japan",167,"s"
"948","jay",64,"nixon"
"949","jefferson",70,"city"
"950","jennifer",89,"hudson"
"951","jeremy",64,"lin"
"952","jerry",103,"brown"
"953","jersey",527,"city"
"954","jesus",91,"christ"
"955","jim",79,"tressel"
"956","jimmy",95,"dimora"
"957","job",160,"creation"
"958","jobless",74,"rate"
"959","jobs",69,"report"
"960","joe",193,"s"
"961","john",166,"s"
"962","johnny",76,"depp"
"963","johns",123,"hopkins"
"964","johnson",196,"said"
"965","join",519,"us"
"966","joining",62,"us"
"967","joint",71,"venture"
"968","jon",104,"corzine"
"969","jones",177,"said"
"970","joseph",69,"s"
"971","josh",83,"hamilton"
"972","jpmorgan",69,"chase"
"973","jr",57,"said"
"974","judge",122,"s"
"975","judiciary",110,"committee"
"976","july",75,"th"
"977","jumped",119,"percent"
"978","june",132,"th"
"979","junior",105,"seau"
"980","junk",63,"food"
"981","jury",17611,"settle"
"982","just",18464,"like"
"983","justice",290,"department"
"984","justin",269,"bieber"
